,관할보건소,동,설치기관이름,설치기관주소,기관연락처,설치 위치,위도,경도
43,동구,내남동,지한초등학교,"광주광역시 동구 남계길 37', ' 지한초등학교 (내남동)",062-220-7672,전관동 1층 보건실 옆,35.0940876748714,126.940205447938
44,광산구,운남동,목련초등학교,"광주광역시 광산구 목련로153번길 20', ' 목련초등학교 (운남동)",062-958-5891,강당입구,35.1729033178284,126.81560704509
45,남구,봉선동,광주유안초등학교,광주광역시 남구 봉선로175번길 16 (봉선동),062-650-3781,후관1층 보건실 앞 복도,35.1254853980311,126.914686235114
46,광산구,수완동,수완초등학교,"광주광역시 광산구 장덕로 143', ' 수완초등학교 (수완동)",062-960-9075,강당(체육관),35.1979020837656,126.824507502736
47,남구,봉선동,광주유안초등학교,광주광역시 남구 봉선로175번길 16 (봉선동),062-650-3781,강당 내 무대 옆,35.1254853980311,126.914686235114
48,남구,봉선동,라인하이츠아파트,"광주광역시 남구 대남대로159번길 31 106동 초소앞 (봉선동', ' 라인하이츠)",062-672-4316,106동 경비초소,35.1310740536714,126.908890894512
49,광산구,우산동,광산중학교,"광주광역시 광산구 사암로158번길 23', ' 광산중학교 (우산동)",062-601-6853,체육관,35.159225991363,126.808604966776
50,광산구,산월동,월봉초등학교,"광주광역시 광산구 산월로 101', ' 월봉초등학교 (산월동)",062-970-3679,강당입구,35.2095136619173,126.848113294414
51,광산구,선암동,선운중학교,"광주광역시 광산구 선운로20번길 37', ' 선운중학교 (선암동)",062-717-9480,2층강당,35.148242286973,126.774826099666
52,남구,백운동,청년와락,"광주광역시 남구 독립로 7', ' 청년와락 (백운동)",062-607-2681,3층(청년와락),35.1342629806863,126.901286522042
53,남구,봉선동,동아여자고등학교,"광주광역시 남구 오방로 16-10', ' 동아여자고등학교', ' 동아여자중학교 (봉선동)",062-650-1999,중앙현관,35.1258474908771,126.922069874951
54,광산구,운남동,마지초등학교,"광주광역시 광산구 목련로219번길 104', ' 마지초등학교 (운남동)",062-958-7440,현관 중앙(행정실 앞),35.1762197008635,126.824046494802
55,광산구,운남동,마지초등학교,"광주광역시 광산구 목련로219번길 104', ' 마지초등학교 (운남동)",062-958-7440,후관 현관 중앙,35.1762197008635,126.824046494802
56,광산구,산정동,광산구치매안심센터,광주광역시 광산구 용아로379번길 77 (산정동),062-960-6925,1층복도,35.1761512237737,126.800234632772
57,북구,용두동,용두2주공@,"광주광역시 북구 하서로483번길 22 (용두동', ' 용두주공2차아파트)",062-575-9100,3경비초소,35.2167708708374,126.875238110109
58,북구,동림동,죽림마을주공아파트,광주광역시 북구 유림로160번길 5 (동림동) 죽림마을주공아파트,5142303,제2경비초소,35.1774780248795,126.86647608921
59,북구,송하동,광주남부소방서,"광주광역시 남구 송암로58번길 13', ' 남부소방서 송하119안전센터 (송하동)",062-613-8608,구급차내,35.1105075675122,126.878340652978
60,광산구,소촌동,어룡초등학교,"광주광역시 광산구 소촌로 122', ' 어룡초등학교 (소촌동)",062-949-2604,본관 1층 현관,35.1551258516602,126.793432011503
61,동구,산수동,무등산그린웰로제비앙아파트,"광주광역시 동구 동계로 38 (산수동', ' 무등산 그린웰로제비앙)",2291251,관리사무소내,35.1555702127517,126.925854851326
62,남구,봉선동,동아여자중학교,"광주광역시 남구 오방로 16-10', ' 동아여자고등학교', ' 동아여자중학교 (봉선동)",062-650-1200,2층 중앙 출입구,35.1258474908771,126.922069874951
63,북구,문흥동,문산초등학교,광주광역시 북구 문산로 66 문산초 (문흥동),062-250-2107,중앙현관,35.1872132883686,126.92514276279
64,북구,동림동,한울초등학교,광주광역시 북구 유림로160번길 15 한울초 (동림동),062-510-3672,본관2층 복도입구,35.1762005665731,126.866425154814
65,동구,산수동,광주장원초등학교,"광주광역시 동구 무등로 533', ' 장원초등학교 (산수동)",2503800,본관 1층 중앙출입문,35.157789305949,126.9377690817
66,남구,진월동,광주남구진제초등학교,광주광역시 남구 서문대로654번길 45 (진월동),062-717-3900,본관 중앙현관,35.1156507709009,126.903153652946
67,남구,진월동,광주씨티병원,광주광역시 남구 서문대로654번길 5 (진월동),062-460-7631,일반구급차 내,35.1177185916361,126.899496862764
68,북구,중흥동,광주중흥초등학교,광주광역시 북구 경양로197번길 25 중흥초 (중흥동),062-612-9905,본관 1층 현관(행정실 옆),35.1608547471817,126.913544492327
69,북구,신용동,건국유치원,"광주광역시 북구 첨단연신로108번길 104', ' 건국유치원 (신용동)",062-713-6362,1층 보건실 앞,35.2102811172577,126.864963273299
70,북구,본촌동,본촌초등학교,"광주광역시 북구 본촌택지로30번길 22', ' 본촌초등학교 (본촌동)",062-606-6875,1층 중앙현관,35.2152351232216,126.881491959591
71,북구,각화동,각화중학교,"광주광역시 북구 군왕로 234', ' 각화중학교 (각화동)",062-250-1690,본관 1층 현관,35.1814937728566,126.937969712888
72,북구,삼각동,삼각초등학교,광주광역시 북구 송해로 21 삼각초 (삼각동),062-570-6571,현관(인쇄실 앞),35.2006427361593,126.900249042687
73,광산구,운남동,운남초등학교,"광주광역시 광산구 하남대로 248-22', ' 운남초등학교 (운남동)",062-958-5779,본관1층 현관,35.1776044736701,126.819284843722
74,북구,동림동,동림초등학교,광주광역시 북구 동림용산로 7 동림초 (동림동),062-520-6604,현관 앞,35.187449892996,126.86761865577
75,북구,우산동,무등초등학교,광주광역시 북구 면앙로 99 무등초 (우산동),062-260-3800,본관 1층 중앙현관,35.1787925927539,126.922769081199
76,광산구,운남동,운남초등학교,"광주광역시 광산구 하남대로 248-22', ' 운남초등학교 (운남동)",062-958-5779,강당 앞,35.1776044736701,126.819284843722
77,광산구,우산동,어등초등학교,"광주광역시 광산구 월곡산정로 50', ' 어등초등학교 (우산동)",062-958-0970,1층 중앙현관,35.1655005737145,126.807783827659
78,광산구,월계동,첨단중학교,"광주광역시 광산구 첨단내촌로 16', ' 첨단중학교 (월계동)",062-970-9550,중앙현관 우측 행정실 앞,35.2082476763147,126.837597226182
79,광산구,월계동,비아중학교,"광주광역시 광산구 첨단중앙로181번길 42-26', ' 비아중학교 (월계동)",070-8668-7119,1층 중앙현관 입구,35.2227424585731,126.836385141286
80,동구,장동,전남여자고등학교,"광주광역시 동구 제봉로158번길 8', ' 전남여자고등학교 (장동)",062-220-0383,본관 중앙현관 1층,35.1505483499716,126.920831349833
81,동구,용산동,용산모아엘가,"광주광역시 동구 용산3길 17 (용산동', ' 모아엘가 에듀파크)",2296031,경비실,35.1181854355772,126.926839518452
82,광산구,신창동,진흥중학교,"광주광역시 광산구 왕버들로 307', ' 진흥중학교', '진흥고등학교 (신창동)",062-960-2289,1층 중앙현관 입구,35.196436007411,126.841688616317
83,동구,소태동,무등산골드클래스,"광주광역시 동구 학소로 109 (소태동', ' 무등산골드클래스)",2323199,관리사무소내(1층),35.1297377914349,126.931970948775
84,서구,쌍촌동,광주광역시서구치매안심센터,"광주광역시 서구 상무대로884번길 17-20', ' 서구치매안심센터 (쌍촌동)",062-350-4769,서구치매안심센터 입구,35.1488573915964,126.860335041386
85,북구,망월동,광주동초등학교,광주광역시 북구 석곡로 527 광주동초 (망월동),062-250-2700,본관 건물 2층(강당앞),35.2057871470699,126.95110886078
86,남구,봉선동,봉선금호타운1차아파트,"광주광역시 남구 봉선로133번길 4 (봉선동', ' 금호타운)",062-675-5590,9동 경비실 앞,35.1248985534812,126.910483851511
87,서구,풍암동,광주도시공사실내빙상장,"광주광역시 서구 금화로 278', ' 실내 빙상장 (풍암동)",010-****-****,실내 빙상장 안내데스크,35.1366355242332,126.87916885013
88,북구,양산동,양산초등학교,광주광역시 북구 연양로 33 양산초 (양산동),062-570-8800,현관 앞 1동 1층 중앙,35.2071868188173,126.871460773842
89,북구,운암동,광주동운초등학교,"광주광역시 북구 북문대로8번길 21', ' 동운초등학교 (운암동)",062-520-5571,강당,35.1749367883726,126.884121123774
90,북구,각화동,각화초등학교,광주광역시 북구 각화대로39번길 10 각화초 (각화동),062-260-2607,본관 1층 중앙현관,35.1824265065507,126.935741856717
91,북구,용봉동,용주초등학교,광주광역시 북구 용주로 15 용주초 (용봉동),062-510-5600,본관 중앙 1층,35.1815846974965,126.898969938893
92,북구,신용동,신용유치원,광주광역시 북구 첨단연신로 232-6 (신용동),062-717-2206,본관 1층 현관입구 오른쪽,35.2102719055574,126.858244756405
93,북구,일곡동,서일초등학교,광주광역시 북구 설죽로 590 서일초 (일곡동),062-570-5775,본관 1층 현관,35.2123806012961,126.898951350574
94,북구,망월동,광주동초등학교,광주광역시 북구 석곡로 527 광주동초 (망월동),062-250-2700,학교 중앙 현관,35.2057871470699,126.95110886078
95,북구,운암동,광주동운초등학교,"광주광역시 북구 북문대로8번길 21', ' 동운초등학교 (운암동)",062-520-5571,교무실,35.1749367883726,126.884121123774
96,북구,용봉동,태봉초등학교,광주광역시 북구 청계로 33 태봉초 (용봉동),062-519-1700,본교 중앙현관(인쇄실 옆),35.1765107718167,126.892263424822
97,북구,매곡동,매곡초등학교,광주광역시 북구 초당로 25 매곡초 (매곡동),062-570-5874,현관 앞,35.1942602502921,126.894297271173
98,북구,삼각동,국제고등학교,"광주광역시 북구 설죽로 433', ' 학교법인춘태학원 (삼각동)",062-573-9761,본관 1층 중앙현관,35.1991144593752,126.895612324385
99,북구,두암동,두암주공2단지아파트,"광주광역시 북구 삼정로 7 (두암동', ' 율곡타운아파트', '두암주공2단지아파트)",062-266-4879,202동 현관,35.1652899121618,126.934585689736
100,북구,두암동,두암주공2단지아파트,"광주광역시 북구 삼정로 7 (두암동', ' 율곡타운아파트', '두암주공2단지아파트)",062-266-4879,205동 현관,35.1652899121618,126.934585689736
101,북구,두암동,두암주공2단지아파트,"광주광역시 북구 삼정로 7 (두암동', ' 율곡타운아파트', '두암주공2단지아파트)",062-266-4879,209동 현관,35.1652899121618,126.934585689736
102,북구,두암동,광주동신여자고등학교,"광주광역시 북구 동문대로 50', ' 동강대학', '동신중.고', '동신여중.고등학교 (두암동)",062-520-2178,중앙현관 출입구 숙직실 맞은편,35.1694378564351,126.92234609245
103,북구,임동,서림초등학교,광주광역시 북구 서림로 113 서림초 (임동),062-520-8608,현관(교무실옆),35.1618825285044,126.899586571334
104,북구,오치동,오치초등학교,광주광역시 북구 설죽로 290 오치초 (오치동),062-250-0604,본관 1층,35.1857367800956,126.899280012687
105,북구,두암동,광주동신여자중학교,광주광역시 북구 동문대로 50 동신여중 (두암동),062-520-2137,중앙현관,35.1694378564351,126.92234609245
106,북구,두암동,광주동신여자중학교,광주광역시 북구 동문대로 50 동신여중 (두암동),062-520-2137,보건실,35.1694378564351,126.92234609245
107,광산구,산정동,산정초등학교,"광주광역시 광산구 목련로22번길 11', ' 산정초등학교 (산정동)",062-960-3501,1층 중앙현관,35.1722060993979,126.801013026494
108,광산구,산정동,산정초등학교,"광주광역시 광산구 목련로22번길 11', ' 산정초등학교 (산정동)",062-960-3501,강당입구,35.1722060993979,126.801013026494
109,광산구,월계동,첨단초등학교,"광주광역시 광산구 임방울대로 727-20', ' 첨단초등학교 (월계동)",062-970-3888,보건실 앞,35.2198640470188,126.83789437626
110,광산구,월계동,천곡중학교,"광주광역시 광산구 월계로16번길 78', ' 천곡중학교 (월계동)",062-970-4063,본관1층 중앙현관,35.2119587323104,126.834875241569
111,광산구,도산동,송정서초등학교,"광주광역시 광산구 상무대로 114', ' 송정서초등학교 (도산동)",062-949-2303,1층 중앙현관,35.1304629973544,126.788096984597
112,광산구,도산동,송정서초등학교,"광주광역시 광산구 상무대로 114', ' 송정서초등학교 (도산동)",062-949-2303,강당입구,35.1304629973544,126.788096984597
113,광산구,월계동,미산초등학교,"광주광역시 광산구 첨단중앙로181번길 70', ' 미산초등학교 (월계동)",062-970-9678,보건실 주변 복도,35.2198825839548,126.833816395072
114,광산구,운남동,목련초등학교,"광주광역시 광산구 목련로153번길 20', ' 목련초등학교 (운남동)",062-958-5891,보건실 앞,35.1729033178284,126.81560704509
115,광산구,신가동,선창초등학교,"광주광역시 광산구 신창로35번길 67', ' 선창초등학교 (신가동)",062-958-3270,본관1층,35.1883360226265,126.834562477483
116,광산구,월계동,첨단고등학교,"광주광역시 광산구 산월로 12-17', ' 첨단고등학교 (월계동)",062-970-4360,1층 현관 중앙,35.2067268689909,126.837561927052
117,광산구,산월동,봉산중학교,"광주광역시 광산구 산월로 67', ' 봉산중학교 (산월동)",062-970-4404,후관1층 중앙현관,35.20952981027,126.844713669364
118,광산구,수완동,수완고등학교,광주광역시 광산구 장덕로 155 (수완동),062-960-4511,본관 현관 로비,35.1980692770292,126.825938604239
119,광산구,산월동,월봉중학교,"광주광역시 광산구 산월로 107', ' 월봉중학교 (산월동)",062-960-1720,1층 행정실 앞,35.2094373181191,126.848978517519
120,남구,행암동,효천LH천년나무1단지아파트,"광주광역시 남구 효우로 260 (행암동', ' 효천엘에이치천년나무1단지아파트)",062-674-6328,경비실 입구,35.1035681940675,126.88844056756
121,남구,노대동,휴먼시아3차아파트,광주광역시 남구 효우로60번길 10 관리사무소 내,062-675-1058,제1경비실 내,35.110178862475,126.902386261253
122,남구,송하동,송원여자상업고등학교,"광주광역시 남구 송암로 73', ' 송원대학교', '송원학원 (송하동)",062-360-5988,1층 취업실 옆,35.1081845052901,126.873266442573
123,남구,백운동,서광중학교,광주광역시 남구 진다리로24번길 13 (백운동),062-603-8262,본관1층 현관입구,35.1363461642827,126.904262396212
124,남구,방림동,동일미래과학고등학교,"광주광역시 남구 천변좌로604번길 12', ' 동일미래과학고등학교 (방림동)",062-650-6315,교무실,35.1261203872134,126.928594285005
125,남구,주월동,광주제석초등학교,"광주광역시 남구 봉선로51번길 14', ' 제석초등학교 (주월동)",062-650-6790,본관1층 보건실 앞 복도,35.1279326236498,126.906410683122
126,남구,양림동,수피아여자고등학교,광주광역시 남구 백서로 13 (양림동),062-670-3086,중앙현관 입구 내측,35.1371931710119,126.911613966574
127,남구,월산동,무진중학교,광주광역시 남구 중앙로 7 (월산동),062-350-5321,2층 강당 계단,35.1459607528445,126.899730465164
128,남구,봉선동,봉선초등학교,광주광역시 남구 봉선중앙로118번길 4 봉선초등학교 (봉선동),062-670-4107,중앙현관,35.130798760725,126.912165187848
129,남구,방림동,숭의중학교,광주광역시 남구 오방로 34-13 (방림동),010-****-****,행정실 앞,35.1290241682655,126.923769855646
130,남구,월산동,농성초등학교,광주광역시 남구 금화로481번길 7 (월산동),062-360-6503,중앙현관,35.1482285154477,126.890695086316
131,광산구,도산동,도산초등학교,"광주광역시 광산구 송정외로 6', ' 도산초등학교 (도산동)",062-940-7174,2층 강당 앞,35.1261929101705,126.791752557294
132,광산구,신창동,수문초등학교,"광주광역시 광산구 신창로105번길 9', ' 수문초등학교 (신창동)",062-958-4296,중앙현관,35.1944603294743,126.837267149416
133,동구,지산동,광주동산초등학교,"광주광역시 동구 준법로 16', ' 동산초등학교 (지산동)",062-230-9201,본관 1층 교육지원실 앞,35.1485560541942,126.935555264802
134,동구,계림동,광주계림초등학교,광주광역시 동구 중앙로 320 (계림동),062-221-8700,본관 현관,35.1604071755773,126.921973816475
135,동구,소태동,광주남초등학교,"광주광역시 동구 지원로5번길 20', ' 광주남초등학교 (소태동)",062-220-1680,사랑동1층 중앙통로 남자화장실쪽 벽,35.1255430012443,126.933066061667
136,동구,계림동,광주계림초등학교,광주광역시 동구 중앙로 320 (계림동),062-221-8700,강당,35.1604071755773,126.921973816475
137,남구,노대동,진남중학교,"광주광역시 남구 노대실로41번길 21', ' 진남중학교 (노대동)",062-717-3475,학교1층 현관,35.1067585988704,126.908715043184
138,남구,노대동,진남유치원,"광주광역시 남구 노대실로 67', ' 진남유치원 (노대동)",062-650-6000,진남유치원 현관 입구,35.1034074642099,126.906194902182
139,남구,주월동,장산초등학교,"광주광역시 남구 회서로 27', ' 장산초등학교 (주월동)",062-650-2350,본관 현관,35.1305265383239,126.894831622714
140,남구,봉선동,조봉초등학교,"광주광역시 남구 봉선로144번길 8', ' 조봉초등학교 (봉선동)",062-650-3587,중앙 현관 출입문 옆,35.1221860944669,126.910630095766
141,광산구,신창동,신가중학교,"광주광역시 광산구 신창로 26', ' 신가중학교 (신창동)",062-960-7353,본관1층 행정실 앞,35.1876840986743,126.837847089251
142,광산구,남산동,본량초등학교,"광주광역시 광산구 용진로 323', ' 본량초등학교 (남산동)",062-943-9568,1층 교무실 앞 복도,35.1808217594719,126.722379855274
143,광산구,선암동,선운초등학교,"광주광역시 광산구 선운중앙로 11', ' 선운초등학교 (선암동)",062-717-9389,1층 중앙 보건실 앞,35.1494263685655,126.774953541563
144,광산구,신가동,진만초등학교,"광주광역시 광산구 목련로394번길 40-10', ' 진만초등학교 (신가동)",062-958-5673,본관1층,35.1835127967075,126.834044278256
145,광산구,월계동,산월초등학교,"광주광역시 광산구 산월로9번길 36', ' 산월초등학교 (월계동)",062-970-4701,본관1층,35.2109717003255,126.83905303285
146,서구,유촌동,유덕중학교,"광주광역시 서구 상무버들로 29', ' 유덕중학교 (유촌동)",062-370-2754,본관 중앙 신발장,35.1635988515923,126.859710215108
147,서구,풍암동,풍암중학교,"광주광역시 서구 풍암순환로 51', ' 풍암중학교 (풍암동)",062-650-9552,중앙 현관,35.1223590426506,126.878123148545
148,서구,화정동,화정남초등학교,"광주광역시 서구 염화로 37', ' 화정남초등학교 (화정동)",062-602-2280,본관 2층 보건실 앞,35.1378563249275,126.871625257268
149,북구,일곡동,일신중학교,광주광역시 북구 일곡택지로 107 일신중 (일곡동),062-605-6606,본관 1층 현관,35.2115251066248,126.893663274486
150,광산구,신창동,신창중학교,"광주광역시 광산구 왕버들로290번길 40', ' 신창중학교 (신창동)",062-958-9500,본관1층 중앙현관 옆,35.1934406478202,126.839374638145
151,광산구,월곡동,월곡중학교,"광주광역시 광산구 월곡산정로 95', ' 월곡중학교 (월곡동)",062-950-7605,중앙현관,35.1667178989531,126.81340318381
152,광산구,선암동,선운중학교,"광주광역시 광산구 선운로20번길 37', ' 선운중학교 (선암동)",062-717-9480,전관1층 보건실 앞,35.148242286973,126.774826099666
153,광산구,월계동,월계초등학교,"광주광역시 광산구 첨단내촌로 83', ' 월계초등학교 (월계동)",062-970-4802,본관1층(중앙로비),35.2136003556556,126.834870599518
154,남구,주월동,금당중학교,"광주광역시 남구 회재로1156번길 9', ' 금당중학교 (주월동)",062-650-0857,강당입구,35.1300756072758,126.888894863656
155,남구,주월동,광주삼육초등학교,광주광역시 남구 회서로 30 (주월동),062-230-3636,중앙 현관,35.130233897893,126.893731973537
156,남구,방림동,동일미래과학고등학교,"광주광역시 남구 천변좌로604번길 12', ' 동일미래과학고등학교 (방림동)",062-650-6315,다목적체육관,35.1261203872134,126.928594285005
157,광산구,도산동,도산초등학교,"광주광역시 광산구 송정외로 6', ' 도산초등학교 (도산동)",062-940-7174,1층복도 행정실 앞,35.1261929101705,126.791752557294
158,광산구,신가동,신가초등학교,"광주광역시 광산구 신가로40번길 21', ' 신가초등학교 (신가동)",062-960-5173,후관 1층 출입구,35.1834343347697,126.827877281013
159,광산구,운남동,운남고등학교,"광주광역시 광산구 하남대로 248-22', ' 운남초등학교 (운남동)",062-958-5779,본관1층(현관),35.1776044736701,126.819284843722
160,남구,주월동,주월중학교,"광주광역시 남구 옹정길 9', ' 주월중학교 (주월동)",062-670-5810,본관동 1층,35.1278682636136,126.903987281622
161,남구,방림동,단설방림유치원,"광주광역시 남구 큰방림길 20', ' 단설 방림유치원 (방림동)",062-608-8500,유치원내 1층 현관 입구,35.134042427615,126.920967366803
162,광산구,신촌동,송정동초등학교,"광주광역시 광산구 사암로27번길 58', ' 송정동초등학교 (신촌동)",062-949-2818,현관입구,35.1458893281603,126.804890723236
163,서구,화정동,화운유치원,"광주광역시 서구 화운로194번길 6', ' 화운유치원 (화정동)",062-376-8151,2층 복도,35.1560400258278,126.877020856818
164,동구,용산동,용산계룡리슈빌아파트,"광주광역시 동구 용산1길 2 (용산동', ' 계룡리슈빌 더 포레스트)",6538973,관리사무소 입구,35.1196730206973,126.924153423383
165,북구,두암동,문화초등학교,광주광역시 북구 군왕로 135 문화초 (두암동),062-260-2019,본관 1층 교장실 앞 복도,35.1734172827004,126.931337845295
166,동구,소태동,무등산골드클래스,"광주광역시 동구 학소로 109 (소태동', ' 무등산골드클래스)",2323199,정문경비실 내(1층),35.1297377914349,126.931970948775
167,남구,백운동,백운동 벽산아파트,"광주광역시 남구 독립로54번길 8 (백운동', ' 백운동 벽산아파트)",062-653-9732,전문 경비실,35.1380031932367,126.901851055244
168,남구,양림동,광주학강초등학교,"광주광역시 남구 양림로 92', ' 학강초등학교 (양림동)",062-720-5339,푸른동 중앙 현관,35.1382006644559,126.918085731635
